,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
23,Glucose_lastObs,7.5,16.4,73,36,0.4931506849315068,37,0.5068493150684932,0.36,0.185,0.6657482063718309,0.1694675372384999
24,Lipoprotein_lastObs,26.6,59.2,51,11,0.21568627450980393,40,0.7843137254901961,0.11,0.2,-0.5978370007556205,0.1015437948584836
25,Lipoprotein_lastObs,59.3,72.2,49,15,0.30612244897959184,34,0.6938775510204082,0.15,0.17,-0.12516314295400616,0.1015437948584836
26,Lipoprotein_lastObs,72.3,83.3,51,16,0.3137254901960784,35,0.6862745098039216,0.16,0.175,-0.08961215868968704,0.1015437948584836
27,Lipoprotein_lastObs,83.5,93.3,49,17,0.3469387755102041,32,0.6530612244897959,0.17,0.16,0.06062462181643484,0.1015437948584836
28,Lipoprotein_lastObs,93.5,112.5,50,19,0.38,31,0.62,0.19,0.155,0.20359895524123955,0.1015437948584836
29,Lipoprotein_lastObs,112.7,198.5,50,22,0.44,28,0.56,0.22,0.14,0.4519851237430572,0.1015437948584836
30,SBP_lastObs,92.0,117.6,43,10,0.23255813953488372,33,0.7674418604651163,0.1,0.165,-0.5007752879124893,0.1845650146963404
31,SBP_lastObs,117.8,124.6,44,11,0.25,33,0.75,0.11,0.165,-0.40546510810816444,0.1845650146963404
32,SBP_lastObs,124.7,129.7,42,11,0.2619047619047619,31,0.7380952380952381,0.11,0.155,-0.3429447511268303,0.1845650146963404
33,SBP_lastObs,130.1,134.8,43,14,0.32558139534883723,29,0.6744186046511628,0.14,0.145,-0.03509131981126994,0.1845650146963404
34,SBP_lastObs,135.0,140.9,42,15,0.35714285714285715,27,0.6428571428571429,0.15,0.135,0.10536051565782614,0.1845650146963404
35,SBP_lastObs,141.0,148.9,43,16,0.37209302325581395,27,0.627906976744186,0.16,0.135,0.16989903679539742,0.1845650146963404
36,SBP_lastObs,149.0,176.3,43,23,0.5348837209302325,20,0.46511627906976744,0.23,0.1,0.8329091229351039,0.1845650146963404
37,HGB_lastObs,9.3,12.6,77,36,0.4675324675324675,41,0.5324675324675324,0.36,0.205,0.5630940523117475,0.16408132477887621
38,HGB_lastObs,12.7,13.9,76,27,0.35526315789473684,49,0.6447368421052632,0.27,0.245,0.09716374845364788,0.16408132477887621
39,HGB_lastObs,14.0,15.2,79,21,0.26582278481012656,58,0.7341772151898734,0.21,0.29,-0.322773392263051,0.16408132477887621
40,HGB_lastObs,15.3,18.3,68,16,0.23529411764705882,52,0.7647058823529411,0.16,0.26,-0.48550781578170077,0.16408132477887621
41,Medication Period-Diabetes Type 2,0.0,0.0,184,55,0.29891304347826086,129,0.7010869565217391,0.55,0.645,-0.1593320385692558,0.03766387402652952
42,Medication Period-Diabetes Type 2,1.0,1.0,116,45,0.3879310344827586,71,0.6120689655172413,0.45,0.355,0.2371297932889497,0.03766387402652952
43,Medication Period-High Blood Cholestrol,0.0,0.0,71,23,0.323943661971831,48,0.676056338028169,0.23,0.24,-0.04255961441879589,0.0005563169598614853
44,Medication Period-High Blood Cholestrol,1.0,1.0,229,77,0.33624454148471616,152,0.6637554585152838,0.77,0.76,0.0130720815673527,0.0005563169598614853
45,Medication Period-Hyper Tension,0.0,0.0,128,37,0.2890625,91,0.7109375,0.37,0.455,-0.20679441331268028,0.029896917232976234
46,Medication Period-Hyper Tension,1.0,1.0,172,63,0.36627906976744184,109,0.6337209302325582,0.63,0.545,0.14493402472233424,0.029896917232976234
